question_id,role,category,difficulty,question_text,expected_answer,expected_concepts
1,Python Developer,Technical,Beginner,What is the difference between a list and a tuple in Python?,"A list is mutable (can be changed after creation) and uses square brackets [], while a tuple is immutable (cannot be changed) and uses parentheses (). Lists are used for collections that may change, tuples for fixed data.","mutability,list,tuple,square brackets,parentheses,immutable"
2,Python Developer,Technical,Beginner,What are Python decorators?,"A decorator is a function that takes another function as input and extends or modifies its behavior without changing the original function's code. They are applied using the @decorator_name syntax above a function definition.","decorator,function,@syntax,modify,wrapper"
3,Python Developer,Technical,Intermediate,Explain list comprehension with an example.,"List comprehension provides a concise way to create lists. Example: [x**2 for x in range(10)] creates a list of squares. It can include conditions: [x for x in range(10) if x % 2 == 0] gives even numbers.","list comprehension,concise,condition,iterable,expression"
4,Python Developer,Technical,Intermediate,What is the difference between *args and **kwargs?,"*args allows a function to accept any number of positional arguments as a tuple. **kwargs allows any number of keyword arguments as a dictionary. Example: def func(*args, **kwargs): print(args, kwargs)","*args,**kwargs,positional,keyword,tuple,dictionary"
5,Python Developer,Technical,Advanced,Explain Python's GIL (Global Interpreter Lock).,"The GIL is a mutex that protects access to Python objects, preventing multiple threads from executing Python bytecodes simultaneously. This means Python threads are not truly parallel for CPU-bound tasks. Use multiprocessing for CPU-bound parallelism.","GIL,mutex,thread,bytecode,multiprocessing,CPU-bound"
6,Data Analyst,Technical,Beginner,What is the difference between INNER JOIN and LEFT JOIN in SQL?,"INNER JOIN returns only rows where there is a match in both tables. LEFT JOIN returns all rows from the left table and matching rows from the right table; non-matching right-table rows appear as NULL.","INNER JOIN,LEFT JOIN,NULL,match,tables"
7,Data Analyst,Technical,Beginner,What is a primary key in a database?,"A primary key is a column or set of columns that uniquely identifies each row in a table. It cannot contain NULL values and must be unique. Every table should have a primary key.","primary key,unique,NULL,row,identify"
8,Data Analyst,Technical,Intermediate,Explain the difference between GROUP BY and HAVING in SQL.,"GROUP BY groups rows with the same values in specified columns into summary rows. HAVING filters groups after aggregation (like WHERE but for aggregated data). Example: SELECT dept, COUNT(*) FROM employees GROUP BY dept HAVING COUNT(*) > 5","GROUP BY,HAVING,aggregate,filter,WHERE"
9,Data Analyst,Technical,Advanced,What is window function in SQL? Give an example.,"A window function performs calculations across a set of rows related to the current row without collapsing them into groups. Example: ROW_NUMBER() OVER (PARTITION BY dept ORDER BY salary DESC) assigns rank within each department.","window function,OVER,PARTITION BY,ROW_NUMBER,rank"
10,AI/ML Engineer,Technical,Beginner,What is the difference between supervised and unsupervised learning?,"Supervised learning uses labeled training data where the algorithm learns to map inputs to known outputs. Unsupervised learning finds patterns in data without labels. Examples: supervised - classification, regression; unsupervised - clustering, dimensionality reduction.","supervised,unsupervised,labeled,unlabeled,classification,clustering"
11,AI/ML Engineer,Technical,Intermediate,Explain overfitting and how to prevent it.,"Overfitting occurs when a model learns the training data too well, including noise, and performs poorly on new data. Prevention: regularization (L1/L2), dropout, cross-validation, more training data, early stopping, simpler model.","overfitting,regularization,dropout,cross-validation,generalization"
12,AI/ML Engineer,Technical,Advanced,Explain the backpropagation algorithm.,"Backpropagation computes gradients of the loss function with respect to each weight using the chain rule. It propagates errors backward from output to input layers. These gradients are used by gradient descent to update weights to minimize loss.","backpropagation,gradient,chain rule,loss function,weights,gradient descent"
13,SQL Developer,Technical,Beginner,What is normalization? Explain 1NF.,"Normalization is the process of organizing a database to reduce redundancy and improve data integrity. 1NF (First Normal Form) requires: each column contains atomic (indivisible) values, each row is unique, and each column contains values of a single type.","normalization,1NF,atomic,redundancy,integrity"
14,SQL Developer,Technical,Intermediate,What is an index in SQL and why is it used?,"An index is a database object that improves the speed of data retrieval. It works like a book index - instead of scanning all rows, the DB uses the index to find data quickly. Tradeoff: faster reads but slower writes and more storage.","index,performance,retrieval,scan,tradeoff"
15,Software Developer,Technical,Beginner,What is the difference between stack and queue data structures?,"A stack follows LIFO (Last In First Out) - like a stack of plates. Operations: push and pop. A queue follows FIFO (First In First Out) - like a line. Operations: enqueue and dequeue. Stacks are used for function calls, queues for scheduling.","stack,queue,LIFO,FIFO,push,pop,enqueue,dequeue"
16,Python Developer,HR,Beginner,Tell me about yourself.,"Provide a structured 2-minute introduction covering: educational background, technical skills, notable projects, and career goals related to the role.","background,skills,projects,goals,structured"
17,Python Developer,HR,Beginner,What are your strengths as a Python developer?,"Mention specific Python strengths with examples: problem-solving, debugging, knowledge of libraries (pandas, numpy, etc.), clean code practices, and any projects that demonstrate these.","strengths,specific,examples,libraries,projects"
18,Data Analyst,HR,Beginner,Why do you want to become a Data Analyst?,"Explain genuine interest in data, pattern recognition, and decision-making. Mention specific experiences with data analysis, tools you enjoy (SQL, Power BI, Python), and how data analytics creates business value.","interest,data,patterns,tools,value"
19,AI/ML Engineer,HR,Beginner,Describe a challenging project you worked on.,"Use the STAR method: Situation (context), Task (what you needed to do), Action (what you did), Result (outcome). Focus on technical challenges and how you solved them.","STAR,challenge,action,result,technical"
20,Software Developer,HR,Beginner,Where do you see yourself in 5 years?,"Show ambition aligned with the role: growing technical skills, taking on leadership, contributing to larger systems, possibly becoming a senior developer or architect. Be specific and realistic.","growth,technical,leadership,realistic,aligned"
